County,Yr_1987,Yr_1992,Yr_1997,Yr_2002,Yr_2007,Yr_2012,Yr_2017,Lat,Long,,,,,,,,,
Brown,"37,644","35,596","36,712","39,294","39,020","44,524","45,230",44.478809,-87.99618,,,,,,,,,
Calumet,"29,544","26,190","22,020","22,499","28,222","30,160","30,260",44.090003,-88.218052,,,,,,,,,
Clark,"64,571","59,518","59,735","63,326","64,438","71,641","66,655",44.738868,-90.616128,,,,,,,,,
Dane,"65,246","58,420","50,432","46,838","51,451","49,924","53,945",43.075193,-89.423867,,,,,,,,,
Dodge,"61,361","54,930","46,487","42,036","40,639","37,301","38,880",43.41528,-88.707514,,,,,,,,,
Fond du Lac,"51,742","45,481","40,210","42,456","47,256","59,491","58,855",43.762674,-88.488206,,,,,,,,,
Grant,"66,728","58,995","52,702","46,564","46,303","46,466","45,080",42.87612,-90.676633,,,,,,,,,
Green,"50,326","40,379","36,951","31,107","30,390","26,978","25,207",42.680497,-89.602179,,,,,,,,,
Kewaunee,"29,917","28,279","26,363","28,303","34,774","45,327","50,896",44.458354,-87.514932,,,,,,,,,
Lafayette,"44,054","39,947","33,830","30,090","30,737","30,831","31,166",42.661137,-90.131729,,,,,,,,,
Manitowoc,"47,283","41,371","43,282","42,462","45,704","52,502","54,474",44.095273,-87.676308,,,,,,,,,
Marathon,"75,983","65,892","62,799","60,591","62,840","63,791","65,358",44.902391,-89.759064,,,,,,,,,
Monroe,"36,738","33,056","28,228","25,637","25,046","23,620","26,309",43.943076,-90.617823,,,,,,,,,
Outagamie,"43,504","39,512","34,179","33,003","37,681","38,017","33,760",44.416758,-88.464925,,,,,,,,,
Shawano,"48,094","43,483","37,063","37,635","36,453","36,455","36,264",44.811306,-88.863563,,,,,,,,,
